INFO 2025-07-15 21:19:05,933 home Yangi so‘rov:
INFO 2025-07-15 21:19:05,933 home Method: GET
INFO 2025-07-15 21:19:05,933 home URL: /uz/home/
INFO 2025-07-15 21:19:05,933 home GET: {}
INFO 2025-07-15 21:19:05,933 home POST: {}
INFO 2025-07-15 21:19:05,933 home User: Anonymous
INFO 2025-07-15 21:19:05,933 home IP Address: 127.0.0.1
INFO 2025-07-15 21:19:05,933 home User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
INFO 2025-07-15 21:19:05,933 home ------------------------------------------------------------------------------------------------------------------------------------------------------
INFO 2025-07-15 21:21:52,370 home Yangi so‘rov:
INFO 2025-07-15 21:21:52,370 home Method: GET
INFO 2025-07-15 21:21:52,370 home URL: /uz/home/
INFO 2025-07-15 21:21:52,370 home GET: {}
INFO 2025-07-15 21:21:52,370 home POST: {}
INFO 2025-07-15 21:21:52,370 home User: Anonymous
INFO 2025-07-15 21:21:52,370 home IP Address: 127.0.0.1
INFO 2025-07-15 21:21:52,370 home User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
INFO 2025-07-15 21:21:52,370 home ------------------------------------------------------------------------------------------------------------------------------------------------------
INFO 2025-07-15 21:22:01,885 home Yangi so‘rov:
INFO 2025-07-15 21:22:01,885 home Method: GET
INFO 2025-07-15 21:22:01,885 home URL: /uz/home/
INFO 2025-07-15 21:22:01,885 home GET: {}
INFO 2025-07-15 21:22:01,885 home POST: {}
INFO 2025-07-15 21:22:01,885 home User: Anonymous
INFO 2025-07-15 21:22:01,885 home IP Address: 127.0.0.1
INFO 2025-07-15 21:22:01,885 home User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
INFO 2025-07-15 21:22:01,885 home ------------------------------------------------------------------------------------------------------------------------------------------------------
INFO 2025-07-16 10:39:22,932 home SO‘ROV: GET /
